"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"385","hallucination|ocean|psychologist|scientist|space station","Drama, Mystery, Romance","$ 14973382","$ 47000000","English","USA",6.2,207,"2003-03-28","2003","Solaris (2003)"
"386","19th century|butler|housemaid|laboratory|servant","Drama, Horror, Romance","$ 5707094","$ 47000000","English","USA, UK",5.8,53,"1996-03-22","1996","Mary Reilly (1996)"
"387","detective|insomnia|murder|partner|police","Crime, Mystery, Thriller","$ 227569","","Norwegian, Swedish","Norway",7.3,70,"1997-03-14","1997","Insomnia (1997)"
"388","detective|insomnia|murder|partner|police","Drama, Mystery, Thriller","$ 67355513","$ 46000000","English","USA, UK",7.2,113,"2002-11-08","2002","Insomnia (2002)"
"389","confederate|death|independence day|military|terrorist","Action, Drama, Fantasy","$ 10547117","$ 47000000","English","USA",4.7,190,"2010-06-18","2010","Jonah Hex (2010)"
"390","","Biography, Crime, Drama","$ 15436808","$ 28000000","English, Spanish","UK, USA",7,187,"2017-05-13","2017","The Infiltrator (2017)"
"391","child abduction|detective|investigation|police|sex offender","Crime, Drama, Mystery","$ 61002302","$ 46000000","English","USA",8.1,494,"2013-11-07","2013","Prisoners (2013)"
"392","lapd|narc|narcotics|title spoken by character|training","Crime, Drama, Thriller","$ 76631907","$ 45000000","English, Russian, Spanish, Korean, Greek","USA",7.7,127,"2001-11-16","2001","Training Day (2001)"
"393","alien|alien race|convention|fan|general","Adventure, Comedy, Sci-Fi","$ 71583916","$ 45000000","English","USA",7.3,101,"2000-11-24","2000","Galaxy Quest (2000)"
"394","blow job|demon|exorcism|priest|professor","Comedy, Horror","$ 71308997","$ 45000000","English","USA, Canada",5.3,135,"2001-10-12","2001","Scary Movie 2 (2001)"
"395","1990s|blade|blood|vampire|vampire hunter","Action, Horror, Sci-Fi","$ 70087718","$ 45000000","English, Russian, Serbian","USA",7.1,181,"2000-01-07","2000","Blade (2000)"
"396","basketball|basketball coach|coach|contract|high school","Biography, Drama, Sport","$ 67264877","$ 30000000","English","USA, Germany",7.3,120,"2005-06-03","2005","Coach Carter (2005)"
"397","amazon|anaconda|boat|jungle|snake","Action, Adventure, Horror","$ 65885767","$ 45000000","English","USA",4.8,139,"1997-11-21","1997","Anaconda (1997)"
"398","driving range|golf|golfer|tournament|winnebago","Comedy, Drama, Romance","$ 53854588","$ 45000000","English","USA",6.4,57,"1996-10-18","1996","Tin Cup (1996)"
"399","clone|convoy|crow|desert|satellite","Action, Horror, Sci-Fi","$ 50648679","$ 45000000","English","France, Australia, Germany, UK, USA, Mexico, Canada",6.3,229,"2007-10-12","2007","Resident Evil: Extinction (2007)"
"400","cell phone|distress signal|family in danger|police|stealing a car","Action, Crime, Thriller","$ 32003620","$ 25000000","English","USA, Germany",6.5,70,"2005-04-29","2005","Cellular (2005)"
"401","british|crown jewels|explosion|funeral|spy","Action, Adventure, Comedy","$ 28082366","$ 40000000","English, French, Japanese","UK, France, USA",6.2,127,"2003-04-11","2003","Johnny English (2003)"
"402","anti war|liverpool|love|protest|song","Drama, Fantasy, History","$ 24602291","$ 45000000","English","USA, UK",7.3,170,"2007-11-23","2007","Across the Universe (2007)"
"403","based on novel|children|connecticut|suburb|work","Drama, Romance","$ 22911480","$ 35000000","English","USA, UK",7.3,323,"2009-01-30","2009","Revolutionary Road (2009)"
"404","box office flop|convent|mercenary|new york|pregnant","Action, Adventure, Sci-Fi","$ 22532572","$ 70000000","English, Russian","France, UK, USA",5.6,168,"2008-10-24","2008","Babylon A.D. (2008)"
"405","ghost|new york city|phantom|skull|superhero","Action, Adventure, Comedy","$ 17323326","$ 45000000","English","Australia, USA",4.9,77,"1996-06-07","1996","The Phantom (1996)"
"406","1970s|cia|f word|u.s. embassy|year 1979","Biography, Drama, Thriller","$ 136025503","$ 44500000","English, Persian, German, Arabic","USA, UK",7.7,668,"2012-11-08","2012","Argo (2012)"
"407","boy|guard|kicked in the crotch|prank|sexual abuse","Crime, Drama, Thriller","$ 53315285","$ 44000000","English","USA",7.6,68,"1996-10-25","1996","Sleepers (1996)"
"408","boy|conscience|fairy|jiminy cricket|pinocchio","Comedy, Family, Fantasy","$ 3684305","EUR 40000000","Italian","Italy",4.4,68,"2002-10-11","2002","Pinocchio (2002)"
"409","death|feud|forbidden love|vampire|werewolf","Action, Fantasy, Thriller","$ 62318875","$ 50000000","English, French, Hungarian","USA, Canada",6.7,180,"2006-02-10","2006","Underworld: Evolution (2006)"
"410","narcotics|parody|police|remake|undercover cop","Action, Comedy, Crime","$ 138447667","$ 42000000","English","USA",7.2,389,"2012-06-15","2012","21 Jump Street (2012)"
"411","actress|bookstore|friend|kiss|love","Comedy, Drama, Romance","$ 116089678","$ 42000000","English, Spanish","UK, USA",7.1,141,"1999-10-22","1999","Notting Hill (1999)"
"412","austrian|fame|fashion|gay lead character|mockumentary","Comedy","$ 60054530","$ 42000000","English, German","USA, UK",5.8,163,"2009-10-23","2009","Brüno (2009)"
"413","based on video game|dinosaur|king|mario|plumber","Adventure, Comedy, Family","$ 20915465","$ 48000000","English","UK, USA, Japan, France",4.1,51,"1993-10-08","1993","Super Mario Bros. (1993)"
"414","1980s|arms dealer|immorality|ukrainian|warlord","Action, Crime, Drama","$ 24149632","$ 50000000","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","USA, Germany, France",7.6,157,"2005-11-18","2005","Lord of War (2005)"
"415","china|flying|king|palace|sword","Action, Adventure, History","$ 53710019","$ 31000000","Mandarin","China, Hong Kong",7.9,150,"2004-10-08","2004","Hero (2004)"
"416","china|flying|king|palace|sword","Action, Drama, Musical","$ 88675","","Hindi","India",3.5,20,"2015-09-11","2015","Hero (2015)"
"417","bail bond|bounty hunter|jeans|shot in the butt|title directed by female","Action, Comedy, Crime","$ 26414527","$ 40000000","English","USA",5.3,128,"2012-01-27","2012","One for the Money (2012)"
"418","assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off","Action, Adventure, Comedy","$ 6105175","$ 44000000","English, Korean","USA",6.5,301,"2014-12-24","2014","The Interview (2014)"
"419","bullet time|explosion|knife throwing|throwing a knife|violence","Action, Fantasy, Western","$ 5666340","$ 42000000","English","New Zealand, South Korea",6.3,97,"2010-12-02","2010","The Warrior's Way (2010)"
"420","competition|contest|friend|self expression|white rapper","Drama, Music","$ 116750901","$ 41000000","English","USA, Germany",7.1,132,"2003-03-14","2003","8 Mile (2003)"
"421","hong kong|interpol|medallion|ship|tough cop","Action, Comedy, Fantasy","$ 22219192","$ 41000000","English","Hong Kong, USA",5.3,98,"2003-12-12","2003","The Medallion (2003)"
"422","brain capacity|drugs|fictional drug|one woman army|tough girl","Action, Sci-Fi, Thriller","$ 126663600","$ 40000000","English, Mandarin, French, Italian, German, Spanish, Korean","France, Germany, Taiwan, Canada, USA, UK",6.4,439,"2014-09-25","2014","Lucy (2014)"
"423","courage|navy seal|outnumbered|shot multiple times|survival","Action, Biography, Drama","$ 125095601","$ 40000000","English, Pushto, Arabic","USA, UK",7.5,348,"2014-02-20","2014","Lone Survivor (2014)"
"424","competitiveness|creator|entrepreneur|facebook|intellectual property","Biography, Drama","$ 96962694","$ 40000000","English, French","USA",7.7,581,"2010-11-11","2010","The Social Network (2010)"
"425","female nudity|male nudity|parody|reference to myspace|sequel","Comedy, Horror","$ 90710620","$ 45000000","English, Japanese","USA",5.1,153,"2006-04-21","2006","Scary Movie 4 (2006)"
"426","death|ghostface|murder|scream|survivor","Horror, Mystery","$ 89143175","$ 40000000","English","USA",5.6,226,"2000-09-01","2000","Scream 3 (2000)"
"427","american|blog|book|cook|cooking","Biography, Drama, Romance","$ 94125426","$ 40000000","English, French","USA",7,265,"2009-10-23","2009","Julie & Julia (2009)"
"428","1950s|1960s|racism|rhythm and blues|singer","Biography, Drama, Music","$ 75331600","$ 40000000","English","USA",7.7,199,"2005-01-21","2005","Ray (2005)"
"429","anthology|corruption|hearing characters thoughts|neo noir|night","Crime, Thriller","$ 74103820","$ 40000000","English","USA",8,386,"2005-06-01","2005","Sin City (2005)"
"430","bromance|friend|gay brother|homosexual subtext|wedding","Comedy, Romance","$ 71440011","$ 40000000","English","USA",7,227,"2009-08-21","2009","I Love You, Man (2009)"
"431","emaciation|male nudity|plane crash|prisoner of war|torture","Biography, Drama, Sport","$ 115637895","$ 65000000","English, Japanese, Italian","USA",7.2,335,"2015-01-29","2015","Unbroken (2015)"
"432","action figure|battle|computer|military|toy","Action, Adventure, Comedy","$ 54682547","$ 40000000","English","USA",6.2,103,"1998-10-16","1998","Small Soldiers (1998)"
"433","based on comic|based on comic book|dark hero|image comics|superhero","Action, Drama, Horror","$ 54870175","$ 40000000","English","USA",5.3,91,"1998-03-05","1998","Spawn (1998)"
"434","defense attorney|defense lawyer|lawyer|plot twist|prostitute","Crime, Drama, Thriller","$ 58009200","$ 40000000","English","USA",7.3,284,"2011-03-18","2011","The Lincoln Lawyer (2011)"
"435","illusion|magician|obsession|rivalry|secret","Drama, Mystery, Sci-Fi","$ 53089891","$ 40000000","English","UK, USA",8.5,363,"2006-12-22","2006","The Prestige (2006)"
"436","jaguar|mayan|solar eclipse|tribe|village","Action, Adventure, Drama","$ 50866635","$ 40000000","Maya","USA, Mexico, UK",7.8,295,"2007-01-05","2007","Apocalypto (2007)"
"437","kicked in the face|martial arts|punched in the face|strong female character|woman punching a man","Action, Adventure, Sci-Fi","$ 52000688","$ 40000000","English, Spanish, Russian","USA",6.4,378,"2010-07-14","2010","Predators (2010)"
"438","adultery|extramarital affair|infidelity|unfaithfulness|writer","Drama, Mystery, Thriller","$ 48022900","$ 40000000","English","USA",6.6,188,"2004-04-16","2004","Secret Window (2004)"
"439","attic|bound and gagged|hoodoo|secret|southern gothic","Drama, Horror, Mystery","$ 47907715","$ 43000000","English, French","USA, Germany",6.5,200,"2005-09-09","2005","The Skeleton Key (2005)"
"440","band|music group|musical quartet|singer|song","Biography, Drama, Music","$ 47047013","$ 40000000","English, Italian, French","USA",6.8,255,"2014-06-18","2014","Jersey Boys (2014)"
"441","memory|murder|patient|psychiatrist|the devil","Horror, Mystery, Thriller","$ 59694580","$ 40000000","English","USA, France, Canada, Spain",5.8,211,"2004-03-19","2004","Gothika (2004)"
"442","courtroom|mutiny|ship|slave ship|slave trade","Biography, Drama, History","$ 44229441","$ 36000000","English, Mende, Spanish, Portuguese","USA",7.3,86,"1998-03-13","1998","Amistad (1998)"
"443","may december romance|new york|new york city|rockefeller center|title directed by female","Drama, Romance","$ 37761915","$ 65000000","English","USA",5.7,109,"2000-12-15","2000","Autumn in New York (2000)"
"444","alien|geek|nerd|road trip|ufo","Adventure, Comedy, Sci-Fi","$ 37412945","$ 40000000","English, Klingon","USA, UK",7,352,"2011-06-01","2011","Paul (2011)"
"445","author|book|deputy|murder|sheriff","Horror, Mystery","$ 38180928","$ 40000000","English","USA",6.1,434,"2011-04-15","2011","Scream 4 (2011)"
"446","death|paris france|rock band|singer|the doors","Biography, Drama, Music","$ 34416893","$ 38000000","English","USA, France",7.2,87,"1991-09-27","1991","The Doors (1991)"
"447","blood splatter|death|eyeball run over by car|latex gloves|suspension bridge","Horror, Thriller","$ 42587643","$ 40000000","English, Cantonese","USA, Canada",5.8,287,"2011-10-07","2011","Final Destination 5 (2011)"
"448","bodyguard|bully|generation y|high school|nerd","Action, Comedy, Crime","$ 32862104","$ 40000000","English","USA",5.7,144,"2008-07-11","2008","Drillbit Taylor (2008)"
"449","job offer|roller coaster|slow motion action scene|slow motion sequence|television","Drama","$ 28409","","English","USA, Canada",6.6,2,"1993-09-17","1993","Morning Glory (1993)"
"450","male frontal nudity|male pubic hair|prison|pubic hair|violence","Biography, Crime, Drama","$ 30985352","$ 40000000","English, Spanish","USA, Canada",5.4,98,"2005-11-09","2005","Get Rich or Die Tryin' (2005)"
"451","aids|hiv positive|lawyer|new york city|roommate","Drama, Musical, Romance","$ 29077547","$ 40000000","English","USA",6.9,86,"2006-04-14","2006","Rent (2006)"
"452","female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt","Action, Drama, Thriller","$ 36665854","$ 40000000","English, Spanish","France, Mexico, USA, Canada",6.4,205,"2011-07-27","2011","Colombiana (2011)"
"453","drug dealer|mayor|new york city|probation|scandal","Drama, Thriller","$ 20340204","$ 40000000","English","USA",6.2,52,"1996-03-22","1996","City Hall (1996)"
"454","cult film|lap dance|lap dancing|stripper|striptease","Drama","$ 20350754","$ 45000000","English","France, USA",4.9,173,"1995-10-26","1995","Showgirls (1995)"
"455","austria|cake|france|queen|versailles","Biography, Drama, History","$ 15962471","$ 40000000","English, Latin, French","USA, France, Japan",6.4,259,"2006-11-17","2006","Marie Antoinette (2006)"
"456","christmas|resort|thailand|tourist|tsunami","Drama, History, Thriller","$ 19019882","$ 45000000","English, Thai, Swedish","Spain, Thailand, USA",7.6,384,"2013-01-31","2013","The Impossible (2013)"
"457","cider|farm|farmer|fox|tale","Animation, Adventure, Comedy","$ 21002919","$ 40000000","English, French","USA, UK",7.9,353,"2010-04-02","2010","Fantastic Mr. Fox (2010)"
"458","best friend|commitment|friend|limousine driver|one night stand","Comedy, Drama, Romance","$ 13399812","$ 60000000","English","UK, USA",6.2,137,"2005-03-04","2005","Alfie (2005)"
"459","band|masturbation|reunion|singer|tribute","Comedy, Drama, Music","$ 12082391","","English","USA",6.4,82,"2009-07-17","2009","Soul Men (2009)"
"460","alien|android|bomb|future|weapon","Drama, Mystery, Sci-Fi","$ 6285176","$ 30000000","English","USA",6.2,83,"2002-06-28","2002","Impostor (2002)"
"461","astronaut|earth|future|icarus|sun","Drama, History, Romance","$ 5096267","","English, French","Germany, Austria, Canada, Hungary, France, UK, USA",7.5,69,"1999-12-17","1999","Sunshine (1999)"
"462","astronaut|earth|future|icarus|sun","Sci-Fi, Thriller","$ 3675753","GBP 26000000","English","UK, USA",7.2,275,"2007-04-20","2007","Sunshine (2007)"
"463","assassination|blood vomiting|death|hit squad|mercenary","Action, Crime, Drama","$ 10664749","$ 40000000","English, Spanish","USA, Spain, UK, France",5.8,237,"2015-05-07","2015","The Gunman (2015)"
"464","binoculars|electronic tag|house arrest|neighbor|watching someone","Crime, Drama, Mystery","$ 80209692","$ 20000000","English, Spanish","USA",6.8,247,"2007-08-17","2007","Disturbia (2007)"
"465","computer|computer virus|cyberpunk|fight the system|sexual fantasy","Comedy, Crime, Drama","$ 7563728","$ 20000000","English, Italian, Japanese, Russian","USA",6.3,95,"1995-09-15","1995","Hackers (1995)"
"466","closed ecological system|perpetual winter|population control|revolt|train","Action, Drama, Sci-Fi","$ 4563650","$ 39200000","English, Korean, French, Japanese, Czech, German","South Korea, Czech Republic",7.1,490,"2014-02-27","2014","Snowpiercer (2014)"
"467","dog|life|remake by original director|science|stop motion animation","Animation, Comedy, Family","$ 35291068","$ 39000000","English","USA",6.9,389,"2013-01-17","2013","Frankenweenie (2013)"
"468","alliance|cannibalism|future|operative|planet","Action, Adventure, Sci-Fi","$ 25514517","$ 39000000","English, Mandarin","USA",7.8,203,"2005-11-25","2005","Serenity (2005)"
"469","boxer|boxing|boxing arena|boxing manager|directed by co star","Biography, Drama, Romance","$ 5884190","$ 39000000","English","USA, Germany",5.3,75,"2004-07-02","2004","Against the Ropes (2004)"
"470","challenge|china|hong kong|martial arts|martial arts master","Action, Biography, Drama","$ 6594959","$ 38600000","Mandarin, Cantonese, Japanese","Hong Kong, China",6.6,283,"2013-09-19","2013","The Grandmaster (2013)"
"471","bully|co worker|divorce|fight|karate","Comedy, Drama","$ 22771646","$ 38000000","English","USA",5.5,52,"2003-02-21","2003","Joe Somebody (2003)"
"472","cover band|fired from a job|heavy metal|rock star|tribute band","Drama, Music","$ 17008282","$ 57000000","English","USA",6.3,97,"2001-11-30","2001","Rock Star (2001)"
"473","abuse|african american lesbian|lesbian|lesbian couple|school","Drama","$ 47566524","$ 10000000","English, Italian","USA",7.3,332,"2010-11-26","2010","Precious (2010)"
"474","alien|left for dead|mercenary|survival|vomiting","Action, Adventure, Sci-Fi","$ 42025135","$ 38000000","English","Canada, USA",6.4,311,"2013-09-05","2013","Riddick (2013)"
"475","army|mexican|orphan|texas|texas ranger","Action, Adventure, Drama","$ 623374","$ 38000000","English","USA, Mexico",5.2,31,"2002-07-12","2002","Texas Rangers (2002)"
"476","drifter|past life regression|psychological testing|right hand man|scientology","Drama","$ 16377274","$ 32000000","English, Filipino","USA",7.2,503,"2013-01-03","2013","The Master (2013)"
"477","african american|coach|football movie|nonlinear timeline|syracuse university","Biography, Drama, Sport","$ 9793406","$ 40000000","English","USA, Germany",7.3,86,"2008-10-10","2008","The Express (2008)"
"478","bank manager|bank robbery|criminal gang|heist|prison","Crime, Drama, Thriller","$ 92186262","$ 37000000","English","USA",7.5,394,"2010-10-08","2010","The Town (2010)"
"479","1970s|female rear nudity|formula 1|rivalry|sex with a nurse","Action, Biography, Drama","$ 26947624","$ 38000000","English, German, Italian, French, Spanish","UK, Germany, USA",8.1,425,"2013-09-19","2013","Rush (2013)"
"480","abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline","Drama","$ 22455976","$ 37000000","English, German, French","USA",8,219,"2000-03-17","2000","Magnolia (2000)"
"481","blood|high school|love|school|vampire","Crime, Drama, Mystery","$ 15055091","$ 37000000","English","USA",6.2,74,"1998-03-06","1998","Twilight (1998)"
"482","blood|high school|love|school|vampire","Drama, Fantasy, Romance","$ 193962473","$ 37000000","English","USA",5.2,359,"2008-11-21","2008","Twilight (2008)"
"483","health care|heart transplant|hospital|hostage|insurance","Crime, Drama, Thriller","$ 71756802","$ 36000000","English, Spanish","USA",7.1,100,"2002-05-10","2002","John Q (2002)"
"484","autistic son|cancer|female protagonist|new york city|son","Biography, Comedy, Drama","$ 2962465","$ 44000000","English","UK, Germany, Canada, Japan, USA",5.4,62,"2000-01-28","2000","Isn't She Great (2000)"
"485","alderman|party|president|presidential candidate|washington d.c.","Comedy","$ 38125247","$ 35200000","English","USA",5.5,48,"2003-07-25","2003","Head of State (2003)"
"486","1950s|cancer|hong kong|martial arts school|wing chun","Action, Biography, Drama","$ 2679437","$ 36000000","Cantonese, English","China, Hong Kong",7.1,85,"2016-06-18","2016","Ip Man 3 (2016)"
"487","american football|based on true story|football star|high school football|left tackle","Biography, Drama, Sport","$ 255959475","$ 29000000","English","USA",7.6,274,"2009-11-20","2009","The Blind Side (2009)"
"488","brother sister relationship|espionage|rescue|secret agent|spy","Action, Adventure, Comedy","$ 112719001","$ 35000000","English, Spanish","USA",5.5,123,"2001-08-24","2001","Spy Kids (2001)"
"489","based on true story|blackjack|card counting|gambling|massachusetts institute of technology","Crime, Drama, History","$ 81159365","$ 35000000","English","USA",6.8,152,"2008-04-18","2008","21 (2008)"
"490","1950s|call girl|corruption|murder|police detective","Crime, Drama, Mystery","$ 64616940","$ 35000000","English","USA",8.2,132,"1997-11-07","1997","L.A. Confidential (1997)"
"491","academy award|gay|high school|reporter|teacher","Comedy, Romance","$ 63856929","$ 35000000","English","USA",6.4,78,"1998-01-13","1998","In & Out (1998)"
"492","martial arts master|monster|new york city|turtle|warrior","Animation, Action, Adventure","$ 54149098","$ 34000000","English","Hong Kong, USA",6.2,195,"2007-06-22","2007","TMNT (2007)"
"493","author|disney|loss of father|reference to walt disney|suppression of emotion","Biography, Comedy, Drama","$ 83301580","$ 35000000","English","USA, UK, Australia",7.5,422,"2014-02-20","2014","Saving Mr. Banks (2014)"
"494","african american|black history|civil rights|ku klux klan|nation of islam","Biography, Drama, History","$ 48169910","$ 33000000","English","USA, Japan",7.7,74,"1993-03-16","1993","Malcolm X (1993)"
"495","fbi|mafia|money|racial slur|singer","Biography, Crime, Drama","$ 41909762","$ 35000000","English, Italian, Japanese","USA",7.7,114,"1997-11-07","1997","Donnie Brasco (1997)"
"496","amnesia|quarantine|special forces|virus|zombie","Action, Horror, Sci-Fi","$ 40119709","$ 33000000","English","UK, Germany, USA",6.7,238,"2002-07-05","2002","Resident Evil (2002)"
"497","ghost|haunted|haunting|house|paranormal investigator","Horror, Thriller","$ 47425125","$ 35000000","English","USA, Canada",4.9,287,"2015-07-02","2015","Poltergeist (2015)"
"498","corporation|death|ex partner|hallucination|police detective","Action, Crime, Drama","$ 40689393","$ 35000000","English, Russian, Spanish","USA, Canada",5.4,232,"2008-11-28","2008","Max Payne (2008)"
"499","currency|future|murder|on the run|time","Action, Sci-Fi, Thriller","$ 37520095","$ 40000000","English","USA",6.7,373,"2012-02-17","2012","In Time (2012)"
"500","14th century|king|knight|sword duel|time travel","Adventure, Comedy, Fantasy","$ 33426971","$ 50000000","English","USA",4.9,50,"2003-06-27","2003","Black Knight (2003)"
"501","cheating wife|film camera|hasselblad camera|leica camera|medium format camera","Drama, Romance","$ 33987757","$ 27000000","English","USA, UK",7.2,206,"2004-12-10","2004","Closer (2004)"
"502","agent|fbi|federal bureau of investigation|gay relationship|secret","Biography, Drama, Romance","$ 37306030","$ 35000000","English","USA",6.5,410,"2012-01-04","2012","J. Edgar (2012)"
"503","alien|drug lord|gang|hunter|predator","Action, Horror, Sci-Fi","$ 30669413","$ 35000000","English","USA",6.3,160,"1991-04-26","1991","Predator 2 (1991)"
"504","baby|childbirth|death|karma|publicist","Comedy, Drama, Romance","$ 25268157","$ 35000000","English","USA",6.2,123,"2004-10-22","2004","Jersey Girl (2004)"
"505","chronic traumatic encephalopathy|concussion|football|football player|pathologist","Drama","$ 42606","","English","USA",5.7,70,"2013-12-05","2013","Concussion (2013)"
"506","based on novel|college girl|midlife crisis|pittsburgh pennsylvania|professor","Comedy, Drama","$ 19393557","$ 55000000","English","USA, Germany, UK, Japan",7.2,183,"2000-10-20","2000","Wonder Boys (2000)"
"507","election|father son relationship|fellatio|gay slur|title spoken by character","Action, Crime, Drama","$ 19701164","$ 35000000","English, Spanish","USA",6.2,303,"2013-02-07","2013","Broken City (2013)"
"508","action hero|disguise|hospital|real estate agent|thief","Action, Crime, Thriller","$ 17616641","$ 35000000","English","USA",6.2,174,"2014-05-08","2014","Parker (2014)"
"509","career|player|tennis|tennis player|wimbledon","Comedy, Romance, Sport","$ 17001133","$ 31000000","English, Italian","UK, France, USA",6.3,123,"2005-06-10","2005","Wimbledon (2005)"
"510","19th century|courtship|female protagonist|princess|queen of england","Biography, Drama, History","$ 11001272","$ 35000000","English, German","UK, USA",7.3,192,"2009-03-06","2009","The Young Victoria (2009)"
"511","1950s|children|ice cube|texas|waco texas","Drama, Fantasy","$ 13303319","$ 32000000","English","USA",6.8,616,"2011-05-18","2011","The Tree of Life (2011)"
"512","dea|drug cartel|kicked in the crotch|strip club|tough girl","Action, Crime, Drama","$ 10508518","$ 35000000","English, Spanish","USA",5.7,250,"2014-03-28","2014","Sabotage (2014)"
"513","bruise|female hero|super strength|superhero|teenage superhero","Action, Adventure, Comedy","$ 11989328","$ 35000000","English","USA",4.4,61,"2006-08-11","2006","Zoom (2006)"
"514","1970s|based on true story|new york city|skyscraper|tightrope walker","Adventure, Biography, Drama","$ 10137502","$ 35000000","English, French, Czech","USA",7.3,371,"2015-10-22","2015","The Walk (2015)"
"515","anthropomorphic animal|football|kangaroo|sword and sorcery|water boy","Action, Adventure, Fantasy","$ 6524620","$ 35000000","English, Mandarin","USA, Hong Kong, China, Canada",4.8,35,"1997-05-02","1997","Warriors of Virtue (1997)"
"516","ambassador|cannes|identity|suicide|thief","Crime, Drama, Mystery","$ 6630252","$ 35000000","English, French, Spanish","France, Switzerland",6.2,160,"2002-11-22","2002","Femme Fatale (2002)"
"517","children|chinese|illegal immigrant|immigrant|male ponytail","Drama, Romance","$ 5101237","","Spanish, Chinese, Wolof","Mexico, Spain",7.5,291,"2011-02-04","2011","Biutiful (2011)"
"518","bank|money|presumed dead|rescue|thief","Action, Crime, Thriller","$ 304318","$ 35000000","English, Swedish","USA",5.5,104,"2012-09-06","2012","Stolen (2012)"
"519","africa|apartheid|nelson mandela|president|resistance","Biography, Drama, History","$ 8323085","$ 35000000","English, Afrikaans, Xhosa","UK, South Africa, France",7.1,217,"2013-11-28","2013","Mandela: Long Walk to Freedom (2013)"
"520","baby rattle|famous line|murder|passenger|snake","Action, Adventure, Crime","$ 34020814","$ 33000000","English","USA, Germany",5.4,290,"2006-09-29","2006","Snakes on a Plane (2006)"
"521","fbi|murder|scene of the crime|serial killer|therapy","Crime, Drama, Mystery","$ 28946615","$ 30000000","English, Vietnamese","USA",5.3,107,"2000-09-17","2000","The Watcher (2000)"
"522","death|family reunion|fbi|fbi agent|vigilante","Action, Crime, Drama","$ 33810189","$ 33000000","English","USA, Germany",6.4,204,"2004-07-02","2004","The Punisher (2004)"
"523","bodyguard|gang war|russian|russian mafia|triad","Drama","$ 512245","$ 1000000","English, Spanish","UK, USA",7.2,66,"1995-06-30","1995","Safe (1995)"
"524","bodyguard|gang war|russian|russian mafia|triad","Action, Crime, Thriller","$ 17142080","$ 30000000","English, Mandarin, Russian","USA",6.5,267,"2012-04-27","2012","Safe (2012)"
"525","brain tumor|genius|psionic power|telekinesis|terminal illness","Drama, Fantasy, Romance","$ 104636382","$ 32000000","English","USA",6.4,60,"1996-10-18","1996","Phenomenon (1996)"
"526","armored car|bank|falling out among thieves|heist|planning","Action, Crime, Thriller","$ 57744720","$ 32000000","English, Russian","USA",6.2,94,"2010-12-03","2010","Takers (2010)"
"527","bomber|time|time loop|train|trapped in a time loop","Action, Drama, Mystery","$ 54712227","$ 32000000","English","USA, Canada, France, Germany",7.5,535,"2011-04-29","2011","Source Code (2011)"
"528","bar|crotch shot|female full frontal nudity|female pubic hair|robbery","Drama, Thriller","$ 31504633","$ 32000000","English","Canada, USA",7.4,455,"2005-12-16","2005","A History of Violence (2005)"
"529","artificial organ|best friend|enforcer|future|near future","Action, Sci-Fi, Thriller","$ 13794835","$ 32000000","English, Spanish","USA, Canada",6.3,200,"2010-03-19","2010","Repo Men (2010)"
"530","animal|cat|child star|hollywood|star","Animation, Comedy, Family","$ 3566637","$ 32000000","English","USA",6.9,21,"1997-03-26","1997","Cats Don't Dance (1997)"
"531","cia|husband wife relationship|memory|tied up while barefoot|violence","Comedy, Crime, Drama","$ 929233","","English, Spanish","USA",6.4,65,"2005-03-03","2005","Criminal (2005)"
"532","cia|husband wife relationship|memory|tied up while barefoot|violence","Action, Sci-Fi, Thriller","$ 14708696","$ 31500000","English, French, Russian","USA, UK, Bulgaria",6.3,173,"2016-04-14","2016","Criminal (2016)"
"533","airline|flight|flight attendant|lawyer|pilot","Drama, Thriller","$ 93772375","$ 31000000","English","USA, United Arab Emirates",7.3,457,"2013-01-24","2013","Flight (2013)"
"534","ghost|ghostbuster|ghostbusters|male objectification|reboot","Action, Comedy, Fantasy","$ 128350574","$ 144000000","English","USA, Australia",5.2,689,"2016-07-28","2016","Ghostbusters (2016)"
"535","debt|loan shark|mobster|movie business|producer","Comedy, Crime, Thriller","$ 72101622","$ 30250000","English","USA",6.9,106,"1996-03-08","1996","Get Shorty (1996)"
"536","fame|jail|jazz age|murder|vaudeville","Comedy, Crime, Musical","$ 170687518","$ 45000000","English, Hungarian","USA, Germany, Canada, UK",7.1,229,"2003-02-20","2003","Chicago (2003)"
"537","beach|beach house|college|party|student","Comedy","$ 145103595","$ 30000000","English","USA",6.4,131,"2001-10-31","2001","American Pie 2 (2001)"
"538","bomb|bus|elevator|explosive|rescue","Action, Adventure, Thriller","$ 121248145","$ 30000000","English","USA",7.2,131,"1994-09-30","1994","Speed (1994)"
"539","alien|ghetto|prawn|refugee|refugee camp","Action, Sci-Fi, Thriller","$ 115646235","$ 30000000","English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho","South Africa, USA, New Zealand, Canada",7.9,486,"2009-09-25","2009","District 9 (2009)"
