"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"286","good versus evil|machine gun|mobster|police vigilantism|year 1949","Action, Crime, Drama","$ 46000903","$ 60000000","English","USA",6.7,433,"2013-02-21","2013","Gangster Squad (2013)"
"287","congressman|conspiracy|newspaper|political conspiracy|subway","Crime, Drama, Mystery","$ 37017955","","English, Cantonese","USA, UK, France",7.1,251,"2009-04-30","2009","State of Play (2009)"
"288","ceo|dubai|product|rivalry|spy","Comedy, Crime, Romance","$ 40572825","$ 60000000","English, Spanish, Russian, German","USA, Germany",6.1,221,"2009-04-10","2009","Duplicity (2009)"
"289","first lady|framed|investigation|president|secret service","Action, Crime, Thriller","$ 36280697","$ 60000000","English","USA",6.1,165,"2006-06-23","2006","The Sentinel (2006)"
"290","alien|alien planet|astronaut|planet|teenager","Animation, Adventure, Comedy","$ 42194060","$ 70000000","English, Spanish","Spain, UK, USA",6,158,"2009-11-20","2009","Planet 51 (2009)"
"291","cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b","Animation, Adventure, Comedy","$ 28426747","$ 60000000","English","UK, USA",5,74,"2006-08-18","2006","Garfield 2 (2006)"
"292","church|priest|sheriff|vampire|warrior","Action, Horror, Thriller","$ 29137000","$ 60000000","English","USA",5.7,202,"2011-06-15","2011","Priest (2011)"
"293","deep space|distress signal|explosion|mining|rescue","Horror, Sci-Fi, Thriller","$ 14230455","$ 90000000","English","USA, Switzerland",4.9,73,"2000-08-11","2000","Supernova (2000)"
"294","apartment|hello kitty|school|teacher|water","Drama, Horror, Mystery","$ 25473352","$ 30000000","English","USA",5.6,203,"2005-10-07","2005","Dark Water (2005)"
"295","female removes her clothes|one word title|producer|television|video store","Comedy, Drama","$ 22431897","$ 80000000","English","USA",6.1,73,"1999-05-28","1999","Edtv (1999)"
"296","female star appears nude|pants falling down|samurai|white rat|woman in a towel","Action, Crime, Fantasy","$ 19806188","$ 60000000","English, French","USA",4.8,233,"2008-12-25","2008","The Spirit (2008)"
"297","art dealer|fake painting|macguffin|moustache|stolen painting","Action, Adventure, Comedy","$ 7696134","$ 60000000","English","UK, USA",5.5,193,"2015-02-19","2015","Mortdecai (2015)"
"298","buddhism|demon|journey to the west|monk|monkey king","Action, Adventure, Fantasy","$ 709982","$ 68005000","English, Mandarin","China, Hong Kong",5.9,22,"2016-02-05","2016","Xi you ji zhi: Sun Wukong san da Baigu Jing (2016)"
"299","based on comic book|breaking the fourth wall|mercenary|mutant|self healing","Action, Adventure, Comedy","$ 363070709","$ 58000000","English","USA",8,662,"2016-02-18","2016","Deadpool (2016)"
"300","assassin|death of child|iraq|sniper|sniper rifle","Action, Biography, Drama","$ 350126372","$ 58800000","English, Arabic","USA",7.3,525,"2015-01-01","2015","American Sniper (2015)"
"301","alaska|female gunfighter|mutation|ship|siege","Action, Adventure, Horror","$ 60128566","$ 60000000","English, Japanese, Spanish","Germany, France, Canada, UK, China, USA",5.8,125,"2010-09-10","2010","Resident Evil: Afterlife (2010)"
"302","african american|battle|italy|tuskegee airmen|world war two","Action, Drama, History","$ 49876377","$ 58000000","English, Italian, German","USA",5.9,148,"2012-01-20","2012","Red Tails (2012)"
"303","diamond|fbi|fbi agent|island|thief","Action, Comedy, Crime","$ 28331233","$ 60000000","English","USA",6.3,119,"2005-04-08","2005","After the Sunset (2005)"
"304","amputee|love|vietnam|vietnam war|war hero","Drama, Romance","$ 330455270","$ 55000000","English","USA",8.8,169,"1994-10-06","1994","Forrest Gump (1994)"
"305","actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia","Animation, Adventure, Drama","$ 141579773","$ 55000000","English, Algonquin","USA",6.7,106,"1995-11-24","1995","Pocahontas (1995)"
"306","casper|friendly ghost|ghost|maine|mansion","Comedy, Family, Fantasy","$ 100328194","$ 50000000","English","USA",6.1,40,"1995-12-07","1995","Casper (1995)"
"307","film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody","Comedy","$ 66384775","$ 55000000","English","USA",6.4,129,"1999-11-12","1999","Bowfinger (1999)"
"308","actress|argentina|military|politics|singer","Biography, Drama, History","$ 50047179","$ 55000000","English","USA",6.3,69,"1996-12-20","1996","Evita (1996)"
"309","case|ex kgb|ronin|russian|suitcase","Action, Crime, Thriller","$ 41616262","$ 55000000","English, French, Russian","UK, France, USA",7.3,154,"1999-01-08","1999","Ronin (1999)"
"310","bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist","Adventure, Comedy, Family","$ 76271832","$ 55000000","English","UK, France, USA, China",7.2,255,"2014-12-25","2014","Paddington (2014)"
"311","flint michigan|merger|michigan|nba|team","Comedy, Sport","$ 33479698","$ 55000000","English","USA",5.8,165,"2008-02-29","2008","Semi-Pro (2008)"
"312","execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction","Biography, Crime, Drama","$ 35739802","$ 55000000","English","USA",7.7,275,"2008-11-14","2008","Changeling (2008)"
"313","court|intrigue|queen|spain|virgin","Biography, Drama, History","$ 16383509","$ 55000000","English, Spanish, Swedish","UK, France, Germany, USA",6.8,204,"2007-10-26","2007","Elizabeth: The Golden Age (2007)"
"314","based on cult favorite|disease|female hero|female protagonist|future","Action, Adventure, Sci-Fi","$ 25874337","$ 62000000","English","USA, Germany, Brazil, Italy",5.5,70,"2006-02-24","2006","Æon Flux (2006)"
"315","confederacy|hero|prequel|stonewall jackson|war hero","Biography, Drama, History","$ 12882934","$ 56000000","English","USA",6.4,76,"2003-02-21","2003","Gods and Generals (2003)"
"316","astronaut|island|lady penelope|rescue|the hood","Action, Adventure, Comedy","$ 6880917","$ 57000000","English","UK, France, USA",4.3,75,"2004-07-23","2004","Thunderbirds (2004)"
"317","burlesque|dancer|iowa|small town girl|stage","Drama, Music, Musical","$ 39440655","$ 55000000","English","USA",6.4,194,"2011-02-18","2011","Burlesque (2011)"
"318","lolita|nymphet|older man young girl relationship|professor|writer","Drama, Romance","$ 1071255","$ 62000000","English","France, USA",6.9,65,"1997-09-26","1997","Lolita (1997)"
"319","blade the character|cult film|mutation|vampire|warrior","Action, Fantasy, Horror","$ 82348319","$ 54000000","English, Romanian, Czech","Germany, USA",6.7,223,"2002-08-16","2002","Blade II (2002)"
"320","flight|flight attendant|kentucky|shoes|travel","Comedy, Drama, Romance","$ 26850426","$ 45000000","English","USA",6.4,191,"2005-11-04","2005","Elizabethtown (2005)"
"321","blaxploitation|detective|drugs|shaft|trial","Action, Crime, Thriller","$ 70334258","$ 46000000","English, German, Spanish","Germany, USA",5.9,146,"2002-07-19","2002","Shaft (2002)"
"322","blaxploitation|detective|drugs|shaft|trial","Action, Comedy, Crime","$ 21360215","$ 35000000","English","USA",6.4,117,"2019-06-28","2019","Shaft (2019)"
"323","amnesia|reference to anastasia romanov|romanov|russia|russian revolution","Animation, Adventure, Drama","$ 58406347","$ 50000000","English, Russian, French","USA",7.2,69,"1998-03-23","1998","Anastasia (1998)"
"324","death of main character|eiffel tower paris|jealousy|tragedy|two suitors","Drama, Musical, Romance","$ 57386607","$ 50000000","English, French, Spanish","Australia, USA",7.6,199,"2001-09-28","2001","Moulin Rouge! (2001)"
"325","imperial japan|japan|japanese army|japanese soldier|world war two","Action, Adventure, Drama","$ 33602376","$ 90000000","English","USA",7,270,"2006-11-10","2006","Flags of Our Fathers (2006)"
"326","anthropophagus|blood and gore|double feature|real twins playing twins|zombie","Action, Horror, Thriller","$ 25037897","$ 67000000","English, Spanish","USA, Canada",7.5,259,"2007-09-28","2007","Grindhouse (2007)"
"327","al qaeda|cia|interrogation|lie|navy seal","Drama, History, Thriller","$ 95720716","$ 40000000","English, Arabic, Urdu, Pushto, French","USA, United Arab Emirates",7.4,582,"2013-02-07","2013","Zero Dark Thirty (2013)"
"328","bride|greece|island|mediterranean|wedding","Comedy, Musical, Romance","$ 144169664","$ 52000000","English, Greek","USA, UK, Germany",6.4,166,"2008-10-03","2008","Mamma Mia! (2008)"
"329","andy kaufman|comedian|eccentric|wrestler|wrestling","Biography, Comedy, Drama","$ 34607430","$ 82000000","English","UK, Germany, Japan, USA",7.4,137,"2000-03-24","2000","Man on the Moon (2000)"
"330","ambassador|cia|dinner|spy|terrorist","Action, Crime, Thriller","$ 24077427","$ 52000000","English, French, Mandarin, German","France",6.5,206,"2010-04-16","2010","From Paris with Love (2010)"
"331","forks washington|protecting a woman|title same as book|vampire|werewolf","Adventure, Drama, Fantasy","$ 297816253","$ 50000000","English, Italian","USA",4.7,306,"2009-11-18","2009","The Twilight Saga: New Moon (2009)"
"332","donkey|fairy tale|ogre|princess|swamp","Animation, Adventure, Comedy","$ 267665011","$ 60000000","English","USA",7.8,168,"2001-06-15","2001","Shrek (2001)"
"333","agent|career|client|fiance|sports agent","Comedy, Drama, Romance","$ 153952592","$ 50000000","English, American Sign Language","USA",7.3,123,"1997-03-07","1997","Jerry Maguire (1997)"
"334","2010s|car accident|sex scene|teddy bear|testicle","Comedy","$ 218815487","$ 50000000","English, Japanese","USA",6.9,468,"2012-10-04","2012","Ted (2012)"
"335","doctor|hospital|mental institution|nurse|student","Biography, Comedy, Drama","$ 135026902","$ 90000000","English","USA",6.8,55,"1999-03-19","1999","Patch Adams (1999)"
"336","abbreviation in title|reporter|small town|sudden wealth|unknowing heir","Comedy, Romance","$ 126293452","$ 50000000","English","USA",5.8,120,"2003-02-07","2003","Mr. Deeds (2003)"
"337","deputy|group of friends|time|train|train crash","Action, Adventure, Sci-Fi","$ 127004179","$ 50000000","English","USA",7,562,"2011-09-09","2011","Super 8 (2011)"
"338","college|drugs|hidden camera|tattoo|undercover","Action, Comedy, Crime","$ 191719337","$ 50000000","English","USA",7,349,"2014-07-23","2014","22 Jump Street (2014)"
"339","biological father|dad|drinking|product placement|wilhelm scream","Comedy, Family","$ 150357137","$ 50000000","English","USA",6.2,175,"2016-01-14","2016","Daddy's Home (2016)"
"340","based on stage musical|cinderella|little red riding hood|singing|witch","Adventure, Comedy, Drama","$ 128002372","$ 50000000","English","USA",5.9,349,"2015-04-02","2015","Into the Woods (2015)"
"341","bank|detective|negotiation|police|robber","Crime, Drama, Mystery","$ 88513495","$ 45000000","English, Albanian, Spanish","USA",7.6,233,"2006-04-07","2006","Inside Man (2006)"
"342","captain|congo|expedition|laser|lost city","Action, Adventure, Mystery","$ 81022101","$ 50000000","English, American Sign Language","USA",5.3,78,"1995-09-29","1995","Congo (1995)"
"343","bar|divorce|friend|girl|male objectification","Comedy, Drama, Romance","$ 84351197","$ 50000000","English","USA",7.4,319,"2011-09-16","2011","Crazy, Stupid, Love. (2011)"
"344","air marshal|death|passenger|terrorist|transatlantic flight","Action, Mystery, Thriller","$ 92168600","$ 50000000","English, German","UK, France, USA, Canada",6.9,379,"2014-05-08","2014","Non-Stop (2014)"
"345","mental institution|post traumatic stress|psychiatrist|vomiting|voyeur","Drama, Mystery, Thriller","$ 55001642","$ 50000000","English, Italian, Chinese","USA, Australia, Switzerland, Canada",6.3,116,"2002-04-12","2002","Don't Say a Word (2002)"
"346","cia|hezbollah|lebanon|oil|prince","Drama, Thriller","$ 50824620","$ 50000000","English, Urdu, Arabic, Persian, French, Mandarin","USA, United Arab Emirates",6.9,362,"2006-02-24","2006","Syriana (2006)"
"347","afterlife|bullfight|bullfighting|love triangle|mexico","Comedy, Fantasy","$ 9740","$ 350000","English","France, USA",6.5,23,"1999-05-26","1999","The Book of Life (1999)"
"348","gothic|police|police officer|silent hill|sleepwalking","Horror","$ 46982632","$ 50000000","English","Canada, France, Japan, Australia",6.5,278,"2006-07-07","2006","Silent Hill (2006)"
"349","danger|graduation|storm|teenage boy|tornado","Action, Adventure, Drama","$ 47602194","$ 50000000","English","USA",5.8,239,"2014-08-27","2014","Into the Storm (2014)"
"350","courtroom|dysfunctional family|indiana|lawyer|trial","Crime, Drama","$ 47119388","$ 50000000","English","USA",7.4,289,"2014-10-23","2014","The Judge (2014)"
"351","nuclear explosion|nuclear weapon|russia|train|train crash","Action, Thriller","$ 41263140","$ 50000000","English, Russian, Serbian, Bosnian, Croatian, Polish","USA",5.9,96,"1997-10-31","1997","The Peacemaker (1997)"
"352","cover up|monster|strong female character|strong female lead|zombie apocalypse","Action, Horror, Sci-Fi","$ 51201453","$ 45000000","English","Germany, France, UK, Canada, USA",6.2,205,"2004-11-05","2004","Resident Evil: Apocalypse (2004)"
"353","cancer|florida|insurance|life insurance policy|small town","Crime, Drama, Mystery","$ 41088845","$ 50000000","English","USA",6.5,119,"2004-06-18","2004","Out of Time (2004)"
"354","love|map|paradise|thailand|travel","Adventure, Drama, Romance","$ 39785027","$ 50000000","English, French, Swedish, Thai, Serbian","USA, UK",6.7,112,"2000-02-25","2000","The Beach (2000)"
"355","critically bashed|kung fu|martial artist|martial arts|ninja","Action, Thriller","$ 38122883","$ 40000000","English","Germany, USA, France",6.3,245,"2009-12-04","2009","Ninja Assassin (2009)"
"356","bouncer|breasts|congressman|private dancer|stripper","Comedy, Crime, Drama","$ 33109743","$ 40000000","English","USA",4.5,57,"1996-09-05","1996","Striptease (1996)"
"357","death|france|near death experience|tsunami|twin brother","Drama, Fantasy, Romance","$ 32746941","$ 50000000","English, French, German","USA",6.4,326,"2011-01-05","2011","Hereafter (2011)"
"358","assassin|floppy disk|modem|rival|russian","Action, Crime, Thriller","$ 30303072","$ 50000000","English, Dutch, Spanish","France, USA",6.3,73,"1996-01-04","1996","Assassins (1996)"
"359","alien|alien creature|body snatching|desert|parasite","Action, Drama, Horror","$ 2201923","KRW 12215500000","Korean, English","South Korea",7.1,399,"2006-07-27","2006","The Host (2006)"
"360","alien|alien creature|body snatching|desert|parasite","Action, Adventure, Drama","$ 26627201","$ 40000000","English","USA, Switzerland, UK",5.9,284,"2013-03-28","2013","The Host (2013)"
"361","2000s|army|military crime|necklace yanked off|panama","Action, Crime, Drama","$ 26793311","$ 50000000","English","Germany, USA",6.5,137,"2003-10-31","2003","Basic (2003)"
"362","bank|chase|district attorney|interpol|murder","Action, Crime, Drama","$ 25450527","$ 50000000","English, Italian, French, Danish","USA, Germany, UK, France",6.5,250,"2009-03-20","2009","The International (2009)"
"363","american civil war|civil war|u.s. civil war","Action, Biography, Drama","$ 20810036","$ 50000000","English","USA",6.9,182,"2016-12-01","2016","Free State of Jones (2016)"
"364","activist|death|death row|murder|texas","Crime, Drama, Thriller","$ 19955598","$ 38000000","English, Spanish","USA, Germany, UK, Spain",7.6,140,"2003-03-21","2003","The Life of David Gale (2003)"
"365","closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train","Drama, Mystery, Thriller","$ 21302340","$ 50000000","English","USA, Canada",6,183,"2012-08-03","2012","Dream House (2012)"
"366","bounty hunter|fbi|female bounty hunter|female nudity|reality show","Action, Biography, Crime","$ 10169202","$ 50000000","English","France, USA, UK",5.9,189,"2006-08-18","2006","Domino (2006)"
"367","blackmail|investigation|murder|panties pulled down|prostitution","Crime, Drama, Thriller","$ 9851610","$ 50000000","English","USA",5.3,53,"1995-11-10","1995","Jade (1995)"
"368","battle|convict|death|mind control|role playing","Action, Sci-Fi, Thriller","$ 20534907","$ 50000000","English","USA",5.8,187,"2010-03-19","2010","Gamer (2010)"
"369","dream|escape|magic|magic spell|small town","Comedy, Thriller, Crime","$ 55835","","English, German","UK",5.9,35,"2001-01-19","2001","Beautiful Creatures (2001)"
"370","chosen one|fashion|fashion model|model|retired","Action, Adventure, Comedy","$ 28848693","$ 50000000","English, Italian, Spanish","USA, Italy",4.7,252,"2016-02-12","2016","Zoolander 2 (2016)"
"371","baby|cult|oklahoma|sex scene|waitress","Action, Fantasy, Thriller","$ 10721033","$ 50000000","English","USA",5.4,301,"2011-04-08","2011","Drive Angry (2011)"
"372","fight|multiverse|police|police officer|prison","Action, Sci-Fi, Thriller","$ 43905746","$ 49000000","English","USA",5.9,108,"2002-08-23","2002","The One (2002)"
"373","cocaine|drug smuggling|interlinked stories|judge|mexico","Crime, Drama, Thriller","$ 124115725","$ 48000000","English, Spanish","USA, Mexico, Germany",7.6,201,"2001-03-09","2001","Traffic (2001)"
"374","dance|infidelity|marriage|russia|russian","Drama, Romance","$ 858553","$ 35000000","English, Russian","USA",6.4,29,"1997-04-04","1997","Anna Karenina (1997)"
"375","dance|infidelity|marriage|russia|russian","Drama, Romance","$ 12816367","$ 40600000","English","UK",6.6,338,"2013-02-21","2013","Anna Karenina (2013)"
"376","brownstone|burglar|money|panic|panic room","Crime, Drama, Thriller","$ 96397334","$ 48000000","English","USA",6.8,242,"2002-04-19","2002","Panic Room (2002)"
"377","gold|gulf war|iraq|kuwait|map","Action, Adventure, Comedy","$ 60652036","$ 75000000","English, Arabic","USA",7.1,128,"2000-03-03","2000","Three Kings (2000)"
"378","casino|locker|money|museum|race","Action, Adventure, Comedy","$ 56618055","$ 48000000","English","USA, Canada",6.4,106,"2002-01-11","2002","Rat Race (2002)"
"379","bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance","Comedy, Fantasy, Romance","$ 47121859","$ 48000000","English, French","USA",6.4,115,"2002-03-01","2002","Kate & Leopold (2002)"
"380","heist|neo noir|one last job|opposites attract|u.s. marshal","Comedy, Crime, Drama","$ 37562568","$ 48000000","English","USA",7,149,"1998-11-13","1998","Out of Sight (1998)"
"381","crime boss|detective|dick tracy|gangster|orphan","Action, Comedy, Crime","$ 103738726","$ 47000000","English","USA",6.1,101,"1990-10-05","1990","Dick Tracy (1990)"
"382","hallucination|ocean|psychologist|scientist|space station","Drama, Mystery, Romance","$ 14973382","$ 47000000","English","USA",6.2,207,"2003-03-28","2003","Solaris (2003)"
"383","19th century|butler|housemaid|laboratory|servant","Drama, Horror, Romance","$ 5707094","$ 47000000","English","USA, UK",5.8,53,"1996-03-22","1996","Mary Reilly (1996)"
"384","detective|insomnia|murder|partner|police","Crime, Mystery, Thriller","$ 227569","","Norwegian, Swedish","Norway",7.3,70,"1997-03-14","1997","Insomnia (1997)"
"385","detective|insomnia|murder|partner|police","Drama, Mystery, Thriller","$ 67355513","$ 46000000","English","USA, UK",7.2,113,"2002-11-08","2002","Insomnia (2002)"
"386","confederate|death|independence day|military|terrorist","Action, Drama, Fantasy","$ 10547117","$ 47000000","English","USA",4.7,190,"2010-06-18","2010","Jonah Hex (2010)"
"387","","Biography, Crime, Drama","$ 15436808","$ 28000000","English, Spanish","UK, USA",7,187,"2017-05-13","2017","The Infiltrator (2017)"
"388","child abduction|detective|investigation|police|sex offender","Crime, Drama, Mystery","$ 61002302","$ 46000000","English","USA",8.1,494,"2013-11-07","2013","Prisoners (2013)"
"389","lapd|narc|narcotics|title spoken by character|training","Crime, Drama, Thriller","$ 76631907","$ 45000000","English, Russian, Spanish, Korean, Greek","USA",7.7,127,"2001-11-16","2001","Training Day (2001)"
"390","alien|alien race|convention|fan|general","Adventure, Comedy, Sci-Fi","$ 71583916","$ 45000000","English","USA",7.3,101,"2000-11-24","2000","Galaxy Quest (2000)"
"391","blow job|demon|exorcism|priest|professor","Comedy, Horror","$ 71308997","$ 45000000","English","USA, Canada",5.3,135,"2001-10-12","2001","Scary Movie 2 (2001)"
"392","1990s|blade|blood|vampire|vampire hunter","Action, Horror, Sci-Fi","$ 70087718","$ 45000000","English, Russian, Serbian","USA",7.1,181,"2000-01-07","2000","Blade (2000)"
"393","basketball|basketball coach|coach|contract|high school","Biography, Drama, Sport","$ 67264877","$ 30000000","English","USA, Germany",7.3,120,"2005-06-03","2005","Coach Carter (2005)"
"394","amazon|anaconda|boat|jungle|snake","Action, Adventure, Horror","$ 65885767","$ 45000000","English","USA",4.8,139,"1997-11-21","1997","Anaconda (1997)"
"395","driving range|golf|golfer|tournament|winnebago","Comedy, Drama, Romance","$ 53854588","$ 45000000","English","USA",6.4,57,"1996-10-18","1996","Tin Cup (1996)"
"396","clone|convoy|crow|desert|satellite","Action, Horror, Sci-Fi","$ 50648679","$ 45000000","English","France, Australia, Germany, UK, USA, Mexico, Canada",6.3,229,"2007-10-12","2007","Resident Evil: Extinction (2007)"
"397","cell phone|distress signal|family in danger|police|stealing a car","Action, Crime, Thriller","$ 32003620","$ 25000000","English","USA, Germany",6.5,70,"2005-04-29","2005","Cellular (2005)"
"398","british|crown jewels|explosion|funeral|spy","Action, Adventure, Comedy","$ 28082366","$ 40000000","English, French, Japanese","UK, France, USA",6.2,127,"2003-04-11","2003","Johnny English (2003)"
"399","anti war|liverpool|love|protest|song","Drama, Fantasy, History","$ 24602291","$ 45000000","English","USA, UK",7.3,170,"2007-11-23","2007","Across the Universe (2007)"
"400","based on novel|children|connecticut|suburb|work","Drama, Romance","$ 22911480","$ 35000000","English","USA, UK",7.3,323,"2009-01-30","2009","Revolutionary Road (2009)"
"401","box office flop|convent|mercenary|new york|pregnant","Action, Adventure, Sci-Fi","$ 22532572","$ 70000000","English, Russian","France, UK, USA",5.6,168,"2008-10-24","2008","Babylon A.D. (2008)"
"402","ghost|new york city|phantom|skull|superhero","Action, Adventure, Comedy","$ 17323326","$ 45000000","English","Australia, USA",4.9,77,"1996-06-07","1996","The Phantom (1996)"
"403","1970s|cia|f word|u.s. embassy|year 1979","Biography, Drama, Thriller","$ 136025503","$ 44500000","English, Persian, German, Arabic","USA, UK",7.7,668,"2012-11-08","2012","Argo (2012)"
"404","boy|guard|kicked in the crotch|prank|sexual abuse","Crime, Drama, Thriller","$ 53315285","$ 44000000","English","USA",7.6,68,"1996-10-25","1996","Sleepers (1996)"
"405","boy|conscience|fairy|jiminy cricket|pinocchio","Comedy, Family, Fantasy","$ 3684305","EUR 40000000","Italian","Italy",4.4,68,"2002-10-11","2002","Pinocchio (2002)"
"406","death|feud|forbidden love|vampire|werewolf","Action, Fantasy, Thriller","$ 62318875","$ 50000000","English, French, Hungarian","USA, Canada",6.7,180,"2006-02-10","2006","Underworld: Evolution (2006)"
"407","narcotics|parody|police|remake|undercover cop","Action, Comedy, Crime","$ 138447667","$ 42000000","English","USA",7.2,389,"2012-06-15","2012","21 Jump Street (2012)"
"408","actress|bookstore|friend|kiss|love","Comedy, Drama, Romance","$ 116089678","$ 42000000","English, Spanish","UK, USA",7.1,141,"1999-10-22","1999","Notting Hill (1999)"
"409","austrian|fame|fashion|gay lead character|mockumentary","Comedy","$ 60054530","$ 42000000","English, German","USA, UK",5.8,163,"2009-10-23","2009","Brüno (2009)"
"410","based on video game|dinosaur|king|mario|plumber","Adventure, Comedy, Family","$ 20915465","$ 48000000","English","UK, USA, Japan, France",4.1,51,"1993-10-08","1993","Super Mario Bros. (1993)"
"411","1980s|arms dealer|immorality|ukrainian|warlord","Action, Crime, Drama","$ 24149632","$ 50000000","English, Ukrainian, German, Spanish, Russian, French, Arabic, Turkish","USA, Germany, France",7.6,157,"2005-11-18","2005","Lord of War (2005)"
"412","china|flying|king|palace|sword","Action, Adventure, History","$ 53710019","$ 31000000","Mandarin","China, Hong Kong",7.9,150,"2004-10-08","2004","Hero (2004)"
"413","china|flying|king|palace|sword","Action, Drama, Musical","$ 88675","","Hindi","India",3.5,20,"2015-09-11","2015","Hero (2015)"
"414","bail bond|bounty hunter|jeans|shot in the butt|title directed by female","Action, Comedy, Crime","$ 26414527","$ 40000000","English","USA",5.3,128,"2012-01-27","2012","One for the Money (2012)"
"415","assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off","Action, Adventure, Comedy","$ 6105175","$ 44000000","English, Korean","USA",6.5,301,"2014-12-24","2014","The Interview (2014)"
"416","bullet time|explosion|knife throwing|throwing a knife|violence","Action, Fantasy, Western","$ 5666340","$ 42000000","English","New Zealand, South Korea",6.3,97,"2010-12-02","2010","The Warrior's Way (2010)"
"417","competition|contest|friend|self expression|white rapper","Drama, Music","$ 116750901","$ 41000000","English","USA, Germany",7.1,132,"2003-03-14","2003","8 Mile (2003)"
"418","hong kong|interpol|medallion|ship|tough cop","Action, Comedy, Fantasy","$ 22219192","$ 41000000","English","Hong Kong, USA",5.3,98,"2003-12-12","2003","The Medallion (2003)"
"419","brain capacity|drugs|fictional drug|one woman army|tough girl","Action, Sci-Fi, Thriller","$ 126663600","$ 40000000","English, Mandarin, French, Italian, German, Spanish, Korean","France, Germany, Taiwan, Canada, USA, UK",6.4,439,"2014-09-25","2014","Lucy (2014)"
"420","courage|navy seal|outnumbered|shot multiple times|survival","Action, Biography, Drama","$ 125095601","$ 40000000","English, Pushto, Arabic","USA, UK",7.5,348,"2014-02-20","2014","Lone Survivor (2014)"
"421","competitiveness|creator|entrepreneur|facebook|intellectual property","Biography, Drama","$ 96962694","$ 40000000","English, French","USA",7.7,581,"2010-11-11","2010","The Social Network (2010)"
"422","female nudity|male nudity|parody|reference to myspace|sequel","Comedy, Horror","$ 90710620","$ 45000000","English, Japanese","USA",5.1,153,"2006-04-21","2006","Scary Movie 4 (2006)"
"423","death|ghostface|murder|scream|survivor","Horror, Mystery","$ 89143175","$ 40000000","English","USA",5.6,226,"2000-09-01","2000","Scream 3 (2000)"
"424","american|blog|book|cook|cooking","Biography, Drama, Romance","$ 94125426","$ 40000000","English, French","USA",7,265,"2009-10-23","2009","Julie & Julia (2009)"
"425","1950s|1960s|racism|rhythm and blues|singer","Biography, Drama, Music","$ 75331600","$ 40000000","English","USA",7.7,199,"2005-01-21","2005","Ray (2005)"
"426","anthology|corruption|hearing characters thoughts|neo noir|night","Crime, Thriller","$ 74103820","$ 40000000","English","USA",8,386,"2005-06-01","2005","Sin City (2005)"
"427","bromance|friend|gay brother|homosexual subtext|wedding","Comedy, Romance","$ 71440011","$ 40000000","English","USA",7,227,"2009-08-21","2009","I Love You, Man (2009)"
"428","action figure|battle|computer|military|toy","Action, Adventure, Comedy","$ 54682547","$ 40000000","English","USA",6.2,103,"1998-10-16","1998","Small Soldiers (1998)"
"429","based on comic|based on comic book|dark hero|image comics|superhero","Action, Drama, Horror","$ 54870175","$ 40000000","English","USA",5.3,91,"1998-03-05","1998","Spawn (1998)"
"430","defense attorney|defense lawyer|lawyer|plot twist|prostitute","Crime, Drama, Thriller","$ 58009200","$ 40000000","English","USA",7.3,284,"2011-03-18","2011","The Lincoln Lawyer (2011)"
"431","illusion|magician|obsession|rivalry|secret","Drama, Mystery, Sci-Fi","$ 53089891","$ 40000000","English","UK, USA",8.5,363,"2006-12-22","2006","The Prestige (2006)"
"432","jaguar|mayan|solar eclipse|tribe|village","Action, Adventure, Drama","$ 50866635","$ 40000000","Maya","USA, Mexico, UK",7.8,295,"2007-01-05","2007","Apocalypto (2007)"
"433","kicked in the face|martial arts|punched in the face|strong female character|woman punching a man","Action, Adventure, Sci-Fi","$ 52000688","$ 40000000","English, Spanish, Russian","USA",6.4,378,"2010-07-14","2010","Predators (2010)"
"434","adultery|extramarital affair|infidelity|unfaithfulness|writer","Drama, Mystery, Thriller","$ 48022900","$ 40000000","English","USA",6.6,188,"2004-04-16","2004","Secret Window (2004)"
"435","attic|bound and gagged|hoodoo|secret|southern gothic","Drama, Horror, Mystery","$ 47907715","$ 43000000","English, French","USA, Germany",6.5,200,"2005-09-09","2005","The Skeleton Key (2005)"
"436","band|music group|musical quartet|singer|song","Biography, Drama, Music","$ 47047013","$ 40000000","English, Italian, French","USA",6.8,255,"2014-06-18","2014","Jersey Boys (2014)"
"437","memory|murder|patient|psychiatrist|the devil","Horror, Mystery, Thriller","$ 59694580","$ 40000000","English","USA, France, Canada, Spain",5.8,211,"2004-03-19","2004","Gothika (2004)"
"438","courtroom|mutiny|ship|slave ship|slave trade","Biography, Drama, History","$ 44229441","$ 36000000","English, Mende, Spanish, Portuguese","USA",7.3,86,"1998-03-13","1998","Amistad (1998)"
"439","may december romance|new york|new york city|rockefeller center|title directed by female","Drama, Romance","$ 37761915","$ 65000000","English","USA",5.7,109,"2000-12-15","2000","Autumn in New York (2000)"
